证券代码	时间	红股(10送)	配股(10配)	配股价	红利(10送)
HK00902	20060511	0.0	0.0	0.0	2.5
HK00902	20070419	0.0	0.0	0.0	2.8
HK00902	20080410	0.0	0.0	0.0	3.0
HK00902	20090514	0.0	0.0	0.0	1.0
HK00902	20100531	0.0	0.0	0.0	2.1
HK00902	20110420	0.0	0.0	0.0	2.0
HK00902	20120620	0.0	0.0	0.0	0.5
HK00902	20130624	0.0	0.0	0.0	2.1
HK00902	20140710	0.0	0.0	0.0	3.8
HK00902	20150702	0.0	0.0	0.0	3.8
HK00902	20160629	0.0	0.0	0.0	4.7
HK01071	20030522	0.0	0.0	0.0	0.36
HK01071	20030903	0.0	0.0	0.0	0.20
HK01071	20040527	0.0	0.0	0.0	0.35
HK01071	20040901	0.0	0.0	0.0	0.20
HK01071	20050428	0.0	0.0	0.0	0.35
HK01071	20060424	0.0	0.0	0.0	0.65
HK01071	20070510	0.0	0.0	0.0	0.62
HK01071	20080529	0.0	0.0	0.0	0.62
HK01071	20100506	0.0	0.0	0.0	0.35
HK01071	20130627	0.0	0.0	0.0	0.65
HK01071	20140604	0.0	0.0	0.0	2.25
HK01071	20150528	0.0	0.0	0.0	2.70
HK01071	20160602	0.0	0.0	0.0	3.00
