D_LatestNetvalue,,,
Code,Tdate,Netvalue,SumNetvalue
161821,2017-07-17,1.211,1.211
166902,2017-11-27,1.0105,1.3635
160810,2017-11-27,1.191,1.191
166012,2017-11-27,1.0586,1.2486
150117,2017-11-27,1.0494,1.3036
150118,2017-11-27,0.5386,2.5536
160218,2017-11-27,0.794,1.9286
160720,2017-11-27,1.0523,1.1607
164812,2017-11-27,0.9267,1.1337
511880,2017-11-27,103.345,116.648
150123,2017-11-27,1.0008,1.3192
150124,2017-11-27,0.8986,2.8665
165312,2017-11-27,0.9497,2.093
167701,2017-11-27,1.1063,1.2079
160130,2017-11-27,0.971,1.437
150121,2017-11-27,1.045,1.272
150122,2017-11-27,1.607,1.607
161507,2017-11-27,1.326,1.44
163210,2017-11-27,1.064,1.404
162715,2017-11-27,1.091,1.132
167601,2017-11-27,1.065,1.065
150140,2017-08-30,1.0332,1.239
150141,2017-08-30,0.9744,2.0104
150143,2017-11-27,1.045,1.224
150144,2017-11-27,0.485,1.599
161826,2017-11-27,0.877,1.107
150148,2017-11-27,1.045,1.234
150149,2017-11-27,0.811,1.841
165519,2017-11-27,0.928,1.538
150145,2017-11-27,1.048,1.25
150146,2017-11-27,0.378,1.368
161718,2017-11-27,0.713,1.309
150130,2017-11-27,1.0494,1.2649
150131,2017-11-27,0.6226,1.7165
160219,2017-11-27,0.836,1.4907
150150,2017-11-27,1.045,1.231
150151,2017-11-27,1.337,1.268
165520,2017-11-27,1.191,1.295
150152,2017-11-27,1.045,1.241
150153,2017-11-27,0.505,2.244
161022,2017-11-27,0.775,1.604
160515,2017-11-27,1.005,1.353
166904,2017-11-27,1.052,1.359
150138,2017-11-27,1.05,1.229
150139,2017-11-27,0.932,2.257
161825,2017-11-27,0.991,1.707
164814,2017-11-27,0.997,1.38
160220,2017-11-27,1.325,1.325
160131,2017-11-27,1.008,1.251
163113,2017-11-27,1.0443,1.7701
150171,2017-11-27,1.0318,1.1909
150172,2017-11-27,1.0568,2.2976
150169,2017-11-27,1.04,1.192
150170,2017-11-27,1.468,1.468
164705,2017-11-27,1.254,1.331
150181,2017-11-27,1.043,1.186
150182,2017-11-27,0.687,2.252
161024,2017-11-27,0.865,1.647
150175,2017-11-27,1.0496,1.2037
150176,2017-11-27,1.0712,1.0712
161831,2017-11-27,1.0604,1.1375
163824,2017-11-27,1.021,1.306
161230,2017-11-27,1.008,1.075
163827,2017-11-27,1.017,1.141
162108,2017-11-27,1.094,1.156
150157,2017-11-27,1.045,1.214
150158,2017-11-27,1.149,2.297
150164,2017-11-27,1.045,1.182
150165,2017-11-27,0.512,0.105
150167,2017-11-27,1.05,1.22
150168,2017-11-27,0.982,1.983
150177,2017-11-27,1.041,1.183
150178,2017-11-27,1.701,2.238
150179,2017-11-27,1.041,1.183
150180,2017-11-27,1.445,2.149
150184,2017-11-27,1.0222,1.1832
150185,2017-11-27,0.848,2.2142
165521,2017-11-27,1.097,1.754
163114,2017-11-27,0.9351,1.6138
160625,2017-11-27,1.371,1.851
160626,2017-11-27,1.243,1.747
165809,2017-11-27,0.885,0.859
150186,2017-11-27,1.0154,1.171
150187,2017-11-27,0.4872,2.1999
163115,2017-11-27,0.7513,1.4764
150188,2017-11-27,1.043,1.174
150189,2017-11-27,0.65,1.743
161719,2017-11-27,0.925,1.345
150194,2017-11-27,1.024,1.161
150195,2017-11-27,1.208,2.073
161025,2017-11-27,1.116,1.474
150192,2017-11-27,1.041,1.162
150193,2017-11-27,1.223,2.354
160628,2017-11-27,1.132,1.779
150190,2017-11-27,1.05,1.206
150191,2017-11-27,1.16,0.757
164304,2017-11-27,1.105,1.192
150198,2017-11-27,1.0494,1.183
150199,2017-11-27,1.426,2.5349
160222,2017-11-27,1.2377,1.859
150200,2017-11-27,1.043,1.154
150201,2017-11-27,0.397,0.154
161720,2017-11-27,0.72,0.726
150205,2017-11-27,1.025,1.151
150206,2017-11-27,0.803,1.173
160630,2017-11-27,0.914,1.161
150207,2017-11-27,1.043,1.149
150208,2017-11-27,0.537,1.558
161721,2017-11-27,0.79,1.353
150203,2017-11-27,1.045,1.147
150204,2017-11-27,0.599,1.474
150173,2017-11-27,1.043,1.149
150174,2017-11-27,0.503,2.097
160629,2017-11-27,0.822,1.257
165522,2017-11-27,0.773,1.496
150209,2017-11-27,1.043,1.145
150210,2017-11-27,0.903,1.405
161026,2017-11-27,0.973,1.239
160416,2017-11-24,0.941,0.981
160717,2017-11-27,0.8581,0.8581
510900,2017-11-27,1.2646,1.2646
150213,2017-11-27,1.045,1.151
150214,2017-11-27,0.351,0.351
161223,2017-11-27,0.698,0.745
512990,2017-11-27,1.1729,1.1729
150217,2017-11-27,1.04,1.138
150218,2017-11-27,0.588,0.383
164905,2017-11-27,0.814,0.858
150215,2017-11-27,1.0404,1.1261
150216,2017-11-27,1.3706,0.4133
160224,2017-11-27,1.2055,0.8201
150223,2017-11-27,1.057,1.159
150224,2017-11-27,0.935,0.108
161027,2017-11-27,0.996,0.59
150135,2017-11-27,1.045,1.141
150136,2017-11-27,1.093,1.093
164508,2017-11-27,1.069,1.117
150211,2017-11-27,1.047,1.14
150212,2017-11-27,0.671,0.671
161028,2017-11-27,0.859,0.905
150196,2017-11-27,1.0494,1.152
150197,2017-11-27,1.1978,0.3651
